Secteur,Métier,Compétence,Nombre d'offres,Salaire Moyen (MAD),Évolution
Transport,Gestionnaire Logistique,Chaîne d'Approvisionnement,412,11902,En chute
Technologie,Expert Cybersécurité,SOC,525,15144,En légère baisse
Finance,Risk Manager,Fraude Financière,447,5127,Stable
Finance,Consultant en Finance,Investissements,775,7242,En légère baisse
Technologie,Expert Cybersécurité,SOC,444,5246,En forte hausse
Transport,Planificateur de Transport,Optimisation des Itinéraires,70,12123,En forte hausse
Santé,Médecin Spécialiste,Chirurgie,622,21363,Stable
Industrie,Opérateur CNC,Tournage,500,15958,Stable
Technologie,Expert Cybersécurité,Ethical Hacking,550,18369,En forte hausse
Industrie,Opérateur CNC,Tournage,599,10417,En forte hausse
Technologie,Développeur Web,JavaScript,356,8490,En forte hausse
Tourisme,Agent de Voyage Digital,CRM,274,6761,En forte hausse
Tourisme,Spécialiste Tourisme Durable,RSE,283,22165,En chute
Éducation,Professeur Universitaire,Rédaction Scientifique,385,17946,En chute
Technologie,Ingénieur Data,Machine Learning,874,13026,En forte hausse
Technologie,Développeur Web,React,550,14662,En légère baisse
Commerce,Responsable Marketing Digital,Stratégie Web,162,16409,En forte hausse
Finance,Risk Manager,Conformité,113,22337,Stable
Commerce,E-commerçant,UX/UI,636,24915,En légère baisse
Éducation,Formateur Digital,Pédagogie,734,6249,En chute
Transport,Conducteur de Train,Réglementation Ferroviaire,543,12190,En forte hausse
Commerce,E-commerçant,Dropshipping,320,5964,Stable
Industrie,Ingénieur Process,Optimisation Industrielle,977,9849,En chute
Transport,Conducteur de Train,Sécurité Transport,881,6286,Stable
Technologie,Expert Cybersécurité,SOC,892,21862,Stable
Agriculture,Ingénieur Agroalimentaire,Transformation Alimentaire,920,23670,En forte hausse
Santé,Infirmier Urgentiste,Soins Intensifs,900,18234,Stable
Tourisme,Manager Hôtelier,Gestion Hôtelière,765,7405,En légère baisse
Transport,Conducteur de Train,Sécurité Transport,671,10268,En forte hausse
Finance,Auditeur,Contrôle de Gestion,166,19190,En forte hausse
Santé,Infirmier Urgentiste,Soins Intensifs,691,11617,Stable
Agriculture,Ingénieur Agroalimentaire,Sécurité Alimentaire,404,20984,En chute
Finance,Risk Manager,Fraude Financière,907,20497,En chute
Commerce,E-commerçant,Marketplace,495,6046,En légère baisse
Commerce,Chef de Rayon,Relation Client,169,7305,En forte hausse
Éducation,Formateur Digital,Pédagogie,108,18394,En légère baisse
Finance,Auditeur,Contrôle de Gestion,980,23151,En chute
Éducation,Formateur Digital,E-learning,538,7557,En légère baisse
Agriculture,Technicien d’Irrigation,Automatisation Agricole,242,8204,En légère baisse
Santé,Médecin Spécialiste,Oncologie,827,9762,En légère baisse
Transport,Planificateur de Transport,Systèmes Intelligents,746,13062,En forte hausse
Finance,Consultant en Finance,Gestion des Risques,819,6485,En légère baisse
Commerce,Chef de Rayon,Merchandising,300,17005,En légère baisse
Agriculture,Technicien d’Irrigation,Gestion de l'Eau,996,14455,En forte hausse
Commerce,Responsable Marketing Digital,Stratégie Web,13,16172,En légère baisse
Finance,Consultant en Finance,Gestion des Risques,752,24185,En forte hausse
Tourisme,Manager Hôtelier,Service Client,451,12853,En légère baisse
Transport,Planificateur de Transport,Optimisation des Itinéraires,315,18451,En légère baisse
Tourisme,Spécialiste Tourisme Durable,Écotourisme,155,7422,Stable
Technologie,Expert Cybersécurité,Sécurité Réseau,599,16091,En forte hausse
Agriculture,Technicien d’Irrigation,Hydraulique,230,9400,En légère baisse
Commerce,E-commerçant,Marketplace,525,18370,En chute
Éducation,Spécialiste e-Learning,SCORM,561,10260,En chute
Tourisme,Manager Hôtelier,Service Client,254,19498,En légère baisse
Éducation,Spécialiste e-Learning,Instructional Design,686,6816,En légère baisse
Finance,Auditeur,Contrôle de Gestion,743,15444,En légère baisse
Éducation,Spécialiste e-Learning,LMS,991,6375,Stable
Transport,Planificateur de Transport,Systèmes Intelligents,800,5627,Stable
Agriculture,Technicien d’Irrigation,Hydraulique,108,6696,En légère baisse
Agriculture,Technicien d’Irrigation,Gestion de l'Eau,667,18019,En forte hausse
Technologie,Expert Cybersécurité,SOC,947,21195,Stable
Transport,Gestionnaire Logistique,Chaîne d'Approvisionnement,593,19687,En chute
Industrie,Opérateur CNC,Fraisage,90,8626,Stable
Finance,Risk Manager,Fraude Financière,180,14412,En légère baisse
Finance,Consultant en Finance,Investissements,754,13218,En forte hausse
Commerce,E-commerçant,Marketplace,280,22609,Stable
Transport,Gestionnaire Logistique,Transport International,286,10275,En forte hausse
Technologie,Ingénieur Data,Big Data,44,13748,En forte hausse
Santé,Médecin Spécialiste,Radiologie,840,19999,Stable
Transport,Planificateur de Transport,Gestion des Flux,952,20082,Stable
Commerce,E-commerçant,Marketplace,962,12724,Stable
Transport,Conducteur de Train,Conduite Automatée,983,24384,Stable
Technologie,Développeur Web,JavaScript,211,23167,En chute
Éducation,Professeur Universitaire,Recherche Académique,397,15196,Stable
Agriculture,Technicien d’Irrigation,Automatisation Agricole,869,12521,En légère baisse
Commerce,E-commerçant,UX/UI,890,12783,En légère baisse
Industrie,Technicien Robotique,Programmation Robotique,607,13012,En chute
Technologie,Ingénieur Data,Machine Learning,536,9677,En chute
Finance,Auditeur,Normes Comptables,948,22370,Stable
